type,gw,position,fpl_id,opta_id,name,player_position,points,is_top_player
gw,8,6,5,226597,Gabriel Magalhães,DEF,12,False
gw,8,7,236,247632,Pedro Neto,MID,12,False
gw,8,8,585,202993,Rodrigo Bentancur,MID,12,False
gw,8,9,283,231747,Jean-Philippe Mateta,FWD,17,False
gw,8,10,178,50175,Danny Welbeck,FWD,13,False
gw,8,11,430,223094,Erling Haaland,FWD,13,False
gw,9,1,32,98980,Emiliano Martínez Romero,GK,8,False
gw,9,2,575,491279,Micky van de Ven,DEF,23,True
gw,9,3,36,199796,Matty Cash,DEF,15,False
gw,9,4,348,214225,Joe Rodon,DEF,13,False
gw,9,5,568,441164,Pedro Porro Sauceda,DEF,11,False
gw,9,6,119,446008,Bryan Mbeumo,MID,15,False
gw,9,7,457,61256,Casemiro,MID,15,False
gw,9,8,350,427637,Brenden Aaronson,MID,11,False
gw,9,9,84,201658,Marcus Tavernier,MID,11,False
gw,9,10,266,232413,Eberechi Eze,MID,11,False
gw,9,11,215,431639,Zian Flemming,FWD,13,False
season,,1,1,154561,David Raya Martín,GK,130,False
season,,2,5,226597,Gabriel Magalhães,DEF,177,False
season,,3,260,209036,Marc Guéhi,DEF,150,False
season,,4,8,445122,Jurriën Timber,DEF,149,False
season,,5,449,141746,Bruno Fernandes,MID,193,False
season,,6,82,437730,Antoine Semenyo,MID,176,False
season,,7,21,204480,Declan Rice,MID,167,False
season,,8,329,153682,Harry Wilson,MID,154,False
season,,9,430,223094,Erling Haaland,FWD,199,True
season,,10,249,475168,João Pedro,FWD,166,False
season,,11,136,502500,Igor Thiago,FWD,166,False
